"x1","x2","idx"
-49.8185521118303,2.34464071710206e-14,114
-49.8192801734987,3.16478834686271e-15,115
-49.8188483149409,5.47003806089319e-14,116
-49.8193920305432,-2.47168733319669e-14,117
-49.818738030158,1.64052977328174e-14,118
-49.8183412997846,-2.93954806662579e-14,119
-49.8191936412249,-7.84268922870335e-14,120
-49.8188322268688,3.55785486427878e-15,121
-49.8190661721183,1.15989566107933e-15,122
-49.8189162370881,1.6470283488574e-14,123
-49.8183790919298,4.87192199949104e-15,124
-49.8190120531272,-2.68821832513039e-14,125
-49.8181076862062,-1.07198634250092e-14,126
-49.8185710080169,1.64151994646191e-14,127
-49.8179636551943,8.06377538147107e-16,128
-49.8188056669036,-3.41085085999871e-15,129
-49.8184258809223,-4.93304078065251e-14,130
-49.818863165581,6.46465484206997e-14,131
-49.8188775876069,3.27634390291037e-14,132
-49.818782295958,4.61204349129852e-14,133
2729.43252102758,1.1170701836782e-12,134
-49.8191281938883,-3.67241443759338e-14,135
-49.8186673948748,3.21775537126645e-14,136
-49.81937013519,-1.56817539134886e-14,137
-49.8172918533983,5.7101011521739e-14,138
-49.8192828879443,2.56995879074126e-14,139
-49.8179382391061,-1.22498394520044e-15,140
-49.8190904963413,-1.34701123296848e-14,141
-49.8191201023237,3.29644123674388e-15,142
-49.8182163052472,-1.18756442680452e-14,143
-49.8190139573759,1.69322847577841e-14,144
-49.8189583619491,2.34088150886397e-15,145
-49.819368611632,-4.87568370965805e-14,146
-49.8187933865969,2.79964353937208e-14,147
-49.819493366163,3.78407982720875e-14,148
-49.8194621899815,-4.73549332171825e-15,149
-49.8194080705406,-4.6244520526472e-14,150
-49.8190566529187,2.24183230062529e-14,151
-49.819127099079,-1.49107641300552e-14,152
-49.8191240038943,3.5666918524268e-14,153
-49.8191291456445,1.53719523929313e-15,154
-49.8190984916806,4.3314301399908e-14,155
-49.8189607427816,-3.85856960181697e-14,156
-49.8185962832645,-5.39978299003741e-14,157
-49.8189094782253,8.18140875990898e-15,158
-49.8188310369783,2.59545156555602e-14,159
-49.8173385471047,4.60059743225206e-14,160
2689.69452235761,1.04213704120897e-12,161
-49.8187376016503,3.22251458331358e-15,162
-49.819161273285,-1.96515994904268e-14,163
-49.8189705955846,2.38882533485326e-14,164
