"SDFB Person ID","ODNB ID","Display Name","Prefix","First Name","Last Name","Suffix","Title","All Search Names","Gender","Historical Significance","Birth Year Type","Extant Birth Year","Alternate Birth Year","Death Year Type","Extant Death Year","Alternate Death Year","Group List","level","military","art","law","politics"
"10001707",0,"Giles Brydges Baron Chandos",NA,"Giles","Brydges","","Baron Chandos","Giles Brydges, Giles, Giles Brydges, Giles Brydges Baron Chandos","male",NA,"IN","1548",NA,"IN","1594",NA,"[]","Noble",0,0,0,0
"10007576",16953,"Peter Lombard",NA,"Peter","Lombard","","church","Peter Lombard, Peter, Peter Lombard","male","Roman Catholic archbishop of Armagh","IN","1554","1554","IN","1625","1625","[]","Religion",0,0,0,0
"10007352",60987,"Robert Leslie of Inverpeffer",NA,"Robert","Leslie","of Inverpeffer",NA,"Robert Leslie of Inverpeffer, Robert, Robert Leslie, Robert Leslie of Inverpeffer, Robert of Inverpeffer","male","","AF","1426",NA,"IN","1536","1536","[]","No Title",0,0,0,0
"10001935",4357,"Edmund Calamy",NA,"Edmund","Calamy","","church","Edmund Calamy, Edmund, Edmund Calamy","male","Presbyterian minister and historian","IN","1671","1671","IN","1732","1732","[]","Religion",0,0,0,0
"10012875",70134,"Philip van Wilder",NA,"Philip van","Wilder","",NA,"Philip van Wilder, Philip van, Philip van Wilder","male","musician","AF","1444",NA,"IN","1554","1554","[]","No Title",0,1,0,0
"10003988",58107,"Sir John Ernle","Sir","John","Ernle","","Sir","John Ernle, Sir John, Sir John Ernle, Sir Ernle, John, John Ernle","male","politician","IN","1617","1620","IN","1697","1697","[]","Significant",0,0,0,1
"10001537",3380,"Edward Brice",NA,"Edward","Brice","","church","Edward Brice, Edward, Edward Brice","male","protestant minister","IN","1568","1569","IN","1636","1636","[]","Religion",0,0,0,0
"10052002",NA,"Catherine Carey",NA,"Catherine","Carey","",NA,"Catherine, Catherine Carey","female","","CA","1546","","IN","1603","","[]","No Title",0,0,0,0
"10051330",NA,"Elizabeth Kemp",NA,"Elizabeth","Kemp","",NA,"Elizabeth, Elizabeth Kemp","female","","AF/IN","1497","","AF/IN","1607","","[]","No Title",0,0,0,0
"10001155",2596,"John Blakiston",NA,"John","Blakiston","",NA,"John Blakiston, John, John Blakiston","male","politician and regicide","IN","1603","1603","IN","1649","1649","[]","No Title",0,0,0,1
"10003651",7973,"John Downes",NA,"John","Downes","",NA,"John Downes, John, John Downes","male","regicide","IN","1609","1609","AF/IN","1666","1666","[]","No Title",0,0,0,0
"10012626",28925,"John Richmond Webb",NA,"John Richmond","Webb","",NA,"John Richmond Webb, John Richmond, John Richmond Webb","male","army officer","IN","1667","1667","IN","1724","1724","[]","No Title",1,0,0,0
"10004363",9684,"Charles Fleetwood",NA,"Charles","Fleetwood","",NA,"Charles Fleetwood, Charles, Charles Fleetwood","male","army officer","IN","1618","1618","IN","1692","1692","[""""Earl of Essex's army""""]","No Title",1,0,0,0
"10010052",22975,"Charles Radcliffe",NA,"Charles","Radcliffe","",NA,"Charles Radcliffe, Charles, Charles Radcliffe","male","Jacobite conspirator","IN","1693","1693","IN","1746","1746","[]","No Title",0,0,0,0
"10000268",633,"Edward Arden",NA,"Edward","Arden","",NA,"Edward Arden, Edward, Edward Arden","male","convicted conspirator","IN","1533","1533","IN","1583","1583","[]","No Title",0,0,0,0
"10006095",13575,"Sir Richard Holloway","Sir","Richard","Holloway","","Sir","Richard Holloway, Sir Richard, Sir Richard Holloway, Sir Holloway, Richard, Richard Holloway","male","judge","IN","1627","1627","IN","1699","1699","[]","Significant",0,0,1,0
"10008555",19390,"Humphrey Moseley",NA,"Humphrey","Moseley","",NA,"Humphrey Moseley, Humphrey, Humphrey Moseley","male","bookseller","BF/IN","1603","1603","IN","1661","1661","[]","No Title",0,0,0,0
"10010426",24018,"John Rolfe",NA,"John","Rolfe","",NA,"John Rolfe, John, John Rolfe","male","colonist and entrepreneur","IN","1585","1585","IN","1622","1622","[]","No Title",0,0,0,0
"10051790",NA,"Anne Morgan",NA,"Anne","Morgan","",NA,"Anne, Anne Morgan","female","","IN","1529","","IN","1606","","[]","No Title",0,0,0,0
"10003052",68193,"Sir Thomas Crompton","Sir","Thomas","Crompton","","Sir","Thomas Crompton, Sir Thomas, Sir Thomas Crompton, Sir Crompton, Thomas, Thomas Crompton","male","civil lawyer","IN","1558","1558","IN","1609","1609","[""""Civil Lawyers""""]","Significant",0,0,1,0
"10007763",69173,"Finola MacDonald",NA,"Finola","MacDonald","",NA,"Finola MacDonald, Finola, Finola MacDonald","female","noblewoman","AF","1500",NA,"AF/IN","1610","1610","[]","Noble",0,0,0,0
"10008145",18449,"Everard Maynwaring",NA,"Everard","Maynwaring","",NA,"Everard Maynwaring, Everard, Everard Maynwaring","male","physician","IN","1627","1628","BF","1737",NA,"[]","No Title",0,0,0,0
"10012168",49523,"Thomas Tuttell",NA,"Thomas","Tuttell","",NA,"Thomas Tuttell, Thomas, Thomas Tuttell","male","maker of mathematical instruments","IN","1674","1674","IN","1702","1702","[]","No Title",0,0,0,0
