"V1","V2","V3","V4","V5","V6","V7"
"1444","0.846366020041507","1441441.59267437","195.908442626815","10000844","10000844","10000844"
"1445","0.885849985032125","1735076.96690094","208.542982012935","10000844","10000844","10000844"
"1446","0.899216102886612","2202858.31818737","224.308192498025","10000844","10000844","10000844"
"1447","0.955882467343418","2789112.59342227","238.225075328505","10000844","10000844","10008543"
"1448","0.891073940008291","3188051.9819418","257.217773233416","10000844","10000844","10008543"
"1449","0.929084986315884","3756416.6686525","275.087465899218","10000844","10000844","10008543"
"1450","0.971460099537474","3997478.71968983","287.659956204241","10000844","10000844","10012539"
"1451","0.954195647843269","4331108.57820073","297.122047780143","10000844","10000844","10012539"
"1452","0.964372023875872","4809800.39102405","307.725978628657","10000844","10000844","10012539"
"1453","1.0903460626214","5685573.08962526","322.720847243974","10000844","10000844","10012539"
"1454","1.17210837709759","6338287.60974917","329.327651818309","10000844","10000844","10012539"
"1455","1.19444706725039","7448001.4192445","348.211715557611","10000844","10000844","10012539"
"1456","1.1525473294157","8044425.22435002","356.935273966398","10000844","10000844","10012539"
"1457","1.74325268813871","22279896.1325349","393.235283877997","10012118","10012118","10012118"
"1458","1.64673703083063","23562162.1128003","402.214147995815","10012118","10012118","10012118"
"1459","1.63812086080703","23787962.2906088","410.009907961032","10012118","10012118","10012118"
"1460","2.17954905624155","31022045.1162904","437.362069448757","10012118","10012118","10012118"
"1461","2.19576557211372","31955860.8292701","442.224600404436","10012118","10012118","10012118"
"1462","2.2286731290374","33974548.1050594","452.927314417377","10012118","10012118","10012118"
"1463","2.06493060974203","36733940.2128989","467.765920647204","10012118","10012118","10012118"
"1464","1.93186404082212","39655515.0017531","482.584938096718","10012118","10012118","10012118"
"1465","1.75877430389307","43456146.084281","501.1804635615","10012118","10012118","10012118"
"1466","2.5568770360649","46090645.7034989","509.794558069628","10012118","10012118","10012118"
"1467","2.49007317976427","51859164.2095888","534.570110811859","10012118","10012118","10012118"
"1468","2.53208716537974","55163949.2785982","545.263593448792","10012118","10012118","10012118"
"1469","2.28880331348548","55157456.3987109","562.783388907287","10012118","10012118","10012118"
