"V1","V2"
-23.495176653706,-4.61709889800527e-07
-23.4934575888567,-4.61425712786463e-07
-23.495197100104,-4.61713261340027e-07
-23.487586342593,-4.60455142745654e-07
-23.4955130197036,-4.61765469313067e-07
-23.4930573248858,-4.61359487808417e-07
-23.4936762650008,-4.61461827330901e-07
-23.4927839697247,-4.61314309406177e-07
-23.4953636271795,-4.61740794771153e-07
-23.4953310707497,-4.61735413870583e-07
-23.4951900078687,-4.61712105061726e-07
-23.4941699924957,-4.61543459620781e-07
-23.4950902583107,-4.61695600935354e-07
-23.495225047132,-4.61717863813676e-07
-23.4932551554333,-4.61392202006644e-07
-23.4923169782538,-4.61237158794387e-07
910.453389670931,0.000290023344145972
-23.4952947564059,-4.61729402885006e-07
-23.4922013992547,-4.61218079671626e-07
-23.4925995214565,-4.61283853672265e-07
-23.4941215603628,-4.61535427612596e-07
-23.4883888464121,-4.60587713132694e-07
-23.4952864205233,-4.61728045389353e-07
-23.4950856330725,-4.61694791391497e-07
910.453389670931,0.000290023344222819
-23.49526304135,-4.61724157095053e-07
-23.4953076970333,-4.6173153977351e-07
-23.4927685294545,-4.61311771013491e-07
-23.4952814033147,-4.61727201592403e-07
-23.492413404795,-4.6125312570385e-07
-23.4934191843999,-4.61419356518034e-07
-23.4950714813295,-4.61692505595454e-07
-23.4950526995236,-4.61689386483154e-07
-23.4919789424054,-4.61181276801536e-07
-23.4930882436633,-4.61364662195044e-07
-23.4952121177302,-4.61715753987988e-07
-23.4921496247162,-4.61209491600848e-07
-23.4952300762308,-4.61718726905063e-07
-23.4955610229721,-4.6177341665212e-07
-23.4953131206939,-4.61732442785601e-07
-23.4935690110377,-4.61444115219504e-07
-23.4950915154323,-4.61695804397823e-07
-23.4887874463707,-4.6065366007007e-07
-23.49246887741,-4.61262243091011e-07
-23.4950226532502,-4.61684428792404e-07
-23.4953953339398,-4.61746028826503e-07
-23.4950764930509,-4.61693324528224e-07
-23.4952079554172,-4.61715078763853e-07
-23.4951307441974,-4.617023105575e-07
-23.4952517697987,-4.6172227692785e-07
-23.4954237101,-4.61750721964426e-07
-23.4952663806001,-4.6172471080302e-07
-23.4951044526519,-4.61697966658366e-07
-23.495180827106,-4.61710587125955e-07
-23.4951587041302,-4.61706896042693e-07
-23.4900277692557,-4.60858668441139e-07
-23.4890658081731,-4.60699661466781e-07
-23.4929563575826,-4.61342864107813e-07
-23.4951666380588,-4.61708233594925e-07
-23.4950259920982,-4.61684980967425e-07
-23.4951904172515,-4.61712144484302e-07
-23.4950493628823,-4.61688850489031e-07
-23.495414531404,-4.61749197548629e-07
-23.4954575091522,-4.6175630193262e-07
-23.4952651273937,-4.61724504500373e-07
-23.4921007980526,-4.61201425518721e-07
-23.4921271102782,-4.61205798457569e-07
-23.4910736337607,-4.61031527723276e-07
-23.4922698087101,-4.61229324498941e-07
-23.4931090718193,-4.61368051005484e-07
-23.4927505735577,-4.61308773466843e-07
-23.4941770533203,-4.61544589740375e-07
-23.4931178360958,-4.61369486378203e-07
-23.4897627345006,-4.6081479085599e-07
-23.4922080387543,-4.61219101096422e-07
-23.4931403740388,-4.61373220963208e-07
-23.4951219737275,-4.61700854482236e-07
-23.4893007524757,-4.60738451269152e-07
-23.4896312847422,-4.60793085412209e-07
-23.4955368070508,-4.61769404515138e-07
-23.4953339895543,-4.61735885947451e-07
-23.4953306538019,-4.61735352517923e-07
-23.4936549894008,-4.61458337840748e-07
-23.495237586859,-4.61719965930492e-07
-23.495311861033,-4.6173225659775e-07
-23.4918107520394,-4.61153483512521e-07
-23.4956574269961,-4.61789349327023e-07
-23.4951073710967,-4.61698449461631e-07
-23.495535143526,-4.61769122328817e-07
-23.4953022695246,-4.61730643977414e-07
-23.4847762225956,-4.59990450269324e-07
-23.4896396222008,-4.60794456366349e-07
-23.4830296080919,-4.59701676872968e-07
-23.4952325675275,-4.61719107619956e-07
-23.4951077904014,-4.61698495859112e-07
-23.4928545025242,-4.6132596910557e-07
-23.4952976866321,-4.61729901981419e-07
-23.4933165338129,-4.61402397261251e-07
-23.4932030059935,-4.61383616128561e-07
-23.4931278547086,-4.61371148580555e-07
-23.4955539119719,-4.6177224176754e-07
-23.4898191283839,-4.60824231590983e-07
-23.4952667996587,-4.61724773319177e-07
-23.4952555271613,-4.6172291176758e-07
-23.4952300769198,-4.61718724858663e-07
-23.4920903726689,-4.61199701495373e-07
-23.4955843876724,-4.61777286149957e-07
-23.487938987023,-4.60513400695011e-07
-23.4828781599787,-4.59676745356384e-07
-23.4933423672142,-4.61406614104511e-07
-23.4932376417361,-4.61389348709453e-07
-23.4953957595739,-4.61746114399996e-07
-23.4930068418424,-4.61351174326352e-07
-23.4921796616164,-4.61214434765845e-07
-23.4941228173262,-4.61535666016624e-07
-23.4922176369762,-4.61220719117898e-07
-23.4885478353418,-4.60613998560985e-07
-23.4953022646816,-4.61730637794272e-07
-23.495035591227,-4.61686567437393e-07
-23.4901788858058,-4.60883679483793e-07
-23.4941937672005,-4.61547365227721e-07
-23.4951929341533,-4.61712589133845e-07
-23.4952826612775,-4.61727422384596e-07
-23.4954274763147,-4.61751355214594e-07
-23.4887235637333,-4.60643054173466e-07
-23.4952421769836,-4.61720721833509e-07
-23.495271802373,-4.61725629202068e-07
-23.4950239053964,-4.61684635999293e-07
-23.4952847438609,-4.61727745130642e-07
-23.4922802383845,-4.61231069952131e-07
-23.4950627084862,-4.61691047756889e-07
-23.4924021174138,-4.61251240657865e-07
-23.4951011116197,-4.61697388086928e-07
-23.4932931473213,-4.61398511126527e-07
-23.4957492466348,-4.61804542212754e-07
-23.4951290740409,-4.61702007038396e-07
-23.4926775612092,-4.61296749080807e-07
-23.4880416515097,-4.60530375602089e-07
-23.4922305864455,-4.6122287981982e-07
-23.4954946657053,-4.6176245596007e-07
-23.4950656389105,-4.6169153652315e-07
-23.4931512292623,-4.61375028401693e-07
-23.4923370382724,-4.61240483829206e-07
-23.4951278253656,-4.61701817772393e-07
-23.4924622316819,-4.61261198256598e-07
-23.4825651181299,-4.59624917957351e-07
-23.4952246509135,-4.61717812781628e-07
-23.495157452592,-4.61706706746257e-07
-23.4935377205149,-4.61438966961985e-07
-23.490469777953,-4.60931761041942e-07
-23.4893550349908,-4.60747495790462e-07
-23.4953415074456,-4.61737120344807e-07
-23.492899182372,-4.61333410046035e-07
-23.4889443310097,-4.60679557372216e-07
-23.4950827530517,-4.61694377714321e-07
-23.4953398389307,-4.61736855739489e-07
-23.4952129649063,-4.61715900270769e-07
-23.4929371580975,-4.61339671239072e-07
-23.4950773264728,-4.6169346101714e-07
-23.493873243806,-4.61494380386776e-07
-23.4955551840749,-4.61772462312903e-07
-23.4954549888768,-4.61755869395125e-07
-23.4925886848272,-4.61282081222297e-07
-23.4953097849741,-4.61731883976398e-07
-23.4943786459984,-4.61577939224412e-07
-23.4952467694215,-4.6172147220117e-07
-23.4951879192621,-4.61711756150061e-07
-23.4958589976673,-4.61822695933809e-07
-23.4926504303263,-4.61292244964418e-07
-23.4929538306197,-4.61342391101352e-07
-23.4952596918501,-4.61723583247013e-07
-23.4952242319142,-4.6171775409299e-07
-23.4952142176538,-4.61716080210744e-07
-23.49255821561,-4.61277047523196e-07
-23.4955564321385,-4.61772656175336e-07
-23.4955334719854,-4.61768847316489e-07
-23.4950301655582,-4.61685682953818e-07
-23.4962012174067,-4.618792580515e-07
-23.4925623764114,-4.61277710411461e-07
-23.4935890436908,-4.61447428278427e-07
-23.4952150522257,-4.61716247934698e-07
-23.4882144052191,-4.60558889508174e-07
-23.4950501974119,-4.61688988703165e-07
-23.4929734475929,-4.61345635546373e-07
-23.4950322519622,-4.61685997176253e-07
-23.4951616246567,-4.61707405624443e-07
-23.4897957622183,-4.60820354499477e-07
-23.4953427487934,-4.61737353335979e-07
-23.4951699755855,-4.61708781557588e-07
-23.4950293311069,-4.61685544700484e-07
-23.4950372583894,-4.61686843306368e-07
-23.4950259921191,-4.61684978649145e-07
-23.4950272444512,-4.61685203525421e-07
-23.4923341032717,-4.61239982754264e-07
-23.49523717139,-4.61719868741693e-07
-23.4952225639826,-4.61717478216626e-07
-23.4950635494353,-4.61691192229392e-07
-23.4919000692896,-4.61168253470048e-07
-23.4918090831545,-4.61153195129657e-07
-23.4950493614878,-4.61688853646201e-07
971.824857744253,646.49927517178
-23.4956098424885,-4.61781840012979e-07
-23.4953970142576,-4.61746655151359e-07
-23.4826247881187,-4.5963517291342e-07
-23.49237953154,-4.61247805898501e-07
-23.4923127951377,-4.61236809065483e-07
-23.4952638798224,-4.61724698237687e-07
-23.4945168031872,-4.61601122886242e-07
-23.4950226532503,-4.61684783693745e-07
-23.4923824573601,-4.61248257313636e-07
-23.4950673071393,-4.61692178024141e-07
-23.4950239053986,-4.61684969215771e-07
-23.4898387233198,-4.60827765871853e-07
-23.4950364256472,-4.61687096121024e-07
-23.494982556622,-4.61678093855853e-07
-23.4922927844139,-4.61233515409235e-07
-23.495054371809,-4.61689997980656e-07
-23.4920565384161,-4.61194448398182e-07
-23.4921475223529,-4.61209460005928e-07
-23.4950610504363,-4.61691117229427e-07
-23.4953481826652,-4.61738585421525e-07
-23.493571941538,-4.61444938930526e-07
-23.4934534177094,-4.61425345444974e-07
-23.4952839011472,-4.61727953549729e-07
-23.4953548448719,-4.61739674434966e-07
-23.495275136532,-4.6172651631859e-07
-23.4953928189272,-4.61745912058124e-07
-23.4953143627953,-4.61732952231361e-07
-23.4892965555238,-4.60738093023626e-07
-23.4951987681032,-4.61713868444214e-07
-23.4953202181797,-4.61733994877764e-07
-23.4925256549258,-4.61272032456157e-07
-23.4931892042653,-4.61381625487545e-07
